Bedrooms,Bathrooms,Toilets,ParkingSpace,PropertyType,State,SalePrice
5,6,6,4,Detached Duplex,Lagos,110000000.0
4,5,5,4,Detached Duplex,Lagos,90000000.0
5,5,6,4,Terraced Duplexes,Abuja,38000000.0
5,5,6,4,Detached Duplex,Lagos,250000000.0
2,5,5,4,Detached Bungalow,Abuja,10000000.0
4,5,5,4,Detached Duplex,Abuja,180000000.0
3,3,4,4,Detached Bungalow,Lagos,45000000.0
4,4,5,3,Semi Detached Duplex,Lagos,65000000.0
4,4,5,4,Detached Bungalow,Enugu,28500000.0
5,5,6,8,Detached Duplex,Abuja,80000000.0
5,6,7,3,Detached Duplex,Lagos,70000000.0
1,5,5,1,Block of Flats,Lagos,20000000.0
4,5,5,4,Block of Flats,Lagos,830000000.0
4,4,5,4,Terraced Duplexes,Lagos,160000000.0
5,5,6,1,Detached Duplex,Abuja,150000000.0
4,4,5,3,Terraced Duplexes,Lagos,180000000.0
2,2,2,4,Detached Bungalow,Lagos,10000000.0
3,4,4,2,Terraced Duplexes,Ogun,21000000.0
4,4,5,5,Detached Duplex,Lagos,65000000.0
3,3,4,5,Detached Bungalow,Lagos,4000000.0
4,5,5,4,Semi Detached Duplex,Lagos,80000000.0
3,5,5,4,Detached Bungalow,Abuja,40000000.0
6,6,7,6,Detached Duplex,Lagos,1300000000.0
5,5,5,4,Detached Duplex,Lagos,450000000.0
4,4,5,2,Terraced Duplexes,Lagos,55000000.0
5,5,5,1,Terraced Duplexes,Kaduna,60000000.0
4,4,5,4,Detached Duplex,Lagos,74000000.0
4,5,5,4,Block of Flats,Anambara,9000000.0
2,2,3,4,Detached Bungalow,Oyo,3000000.0
4,5,5,4,Detached Duplex,Lagos,75000000.0
4,5,5,4,Detached Duplex,Lagos,85000000.0
4,4,4,3,Terraced Duplexes,Lagos,180000000.0
3,5,5,4,Semi Detached Bungalow,Ogun,11500000.0
4,4,5,2,Terraced Duplexes,Lagos,120000000.0
4,4,5,1,Detached Bungalow,Rivers,30000000.0
5,5,6,5,Detached Duplex,Lagos,125000000.0
4,4,4,4,Detached Duplex,Lagos,65000000.0
5,5,6,4,Detached Duplex,Lagos,1500000000.0
4,5,5,4,Terraced Duplexes,Abuja,80000000.0
4,5,5,4,Detached Duplex,Lagos,75000000.0
5,7,7,8,Semi Detached Duplex,Lagos,80000000.0
3,3,4,3,Terraced Duplexes,Lagos,45000000.0
4,5,5,4,Detached Duplex,Lagos,35000000.0
4,4,5,2,Terraced Duplexes,Lagos,47000000.0
5,5,5,4,Detached Duplex,Lagos,145000000.0
4,5,5,4,Terraced Duplexes,Abuja,50000000.0
5,5,6,4,Detached Duplex,Lagos,95000000.0
5,5,6,3,Semi Detached Duplex,Lagos,160000000.0
2,2,3,3,Block of Flats,Abuja,22000000.0
5,5,6,5,Detached Duplex,Lagos,150000000.0
3,3,4,4,Terraced Duplexes,Abuja,75000000.0
4,4,5,2,Semi Detached Duplex,Lagos,70000000.0
4,6,6,4,Semi Detached Duplex,Lagos,240000000.0
4,5,5,4,Block of Flats,Lagos,30000000.0
3,3,3,4,Detached Bungalow,Ogun,16000000.0
5,6,6,4,Detached Duplex,Lagos,450000000.0
